지역구,관광지명,정제키워드
남구,UN공원,"유엔묘지, 현충일, 참전용사, 추모식, 순국선열, 기념묘, 국립묘지, 국가보훈처, 호국보훈, 역사관, 유엔군, 위령, 부경대학교, 세계대전, 봉안, 기념비, 묘지, 봉사활동, 유엔, 점심시간, 폐장, 추모, 묘소,  민족, 국전, 총회, 유언, 국제연합, 기념관, 헌화, 전몰, 평화로, 호국, 답사, 묘역, 계단"
남구,부산박물관,"박물관, 여름방학, 일제강점기, 범어사, 관광, 근대역사관, 두번째, 사전예약, 문화생활, 먹음, 겨울방학, 통일신라, 경험, 오스카, 샬럿, 디포, 피난민, 기획전, 멘보샤, 세익스피어, 전집, 역사관, 유치원, 개항, 시티투어, 명절"
남구,오륙도,"봄꽃, 전망대, 나들이, 일찍, 달맞이, 동백섬, 개화, 수선화, 해돋이, 갈맷길, 꽃놀이, 바다색, 하늘, 관광명소, 순산, 언덕길, 꽃샘추위, 낭만, 피어, 봄날, 시티투어, 트레킹, 동백꽃, 가을, 만발, 유채꽃, 노을, 당일치기, 갈매기"
남구,용호만부두,"선착장, 사전예약, 승선권, 호텔, 요트, 휴가, 전화번호, 관광명소, 대여, 등대, 갈맷길, 접수, 출항, 정박, 승선,  선셋, 스타벅스, 마천루, 레저, 데이트, 방파제, 영화의전당, 구명조끼, 광안대교"
동구,초량이바구길,"관광명소, 당일치기, 시티투어, 기차, 달달, 오르락내리락, 맛집, 호텔, 뚜벅, 영화, 시락, 데이트, 왕복, 달동네, 일제강점기, 산책, 디저트, 돼지국밥, 버스정류장, 우유, "
동구,상해거리,"국밥집, 맛집, 딤섬, 먹음,  본점, 고기소, 점심시간, 타벅스, 자장면, 웨이팅, 신발, 테이크아웃, 우동, 식당, 포춘쿠키, 만두소, 중국음식, 민락항, 갈맷길, 전골, 간짜장, 음식점, 돼지국밥, 단골, 입맛, 맨션, 야식, 바삭"
동래구,동래읍성,"축제, 역사관, 성터, 동래부순절도, 전야제, 동래향교, 기획전, 테마, 일제강점기, 놀이터, 구경, 행사, 철기, 예술제, 가요제, 읍성, 덧널무덤, 전통문화, 격전, 시간여행, 스탬프, 낙안읍성, 돼지껍데기, 삼한시대, 북장대, 상설"
동래구,동래온천,"숙박시설, 냉탕, 족욕탕, 찜질방, 스파, 사우나, 탈의실, 노천온천, 샤워실, 도고온천, 투숙, 주차공간, 남탕, 후불, 혼욕, 라운지, 입욕, 찜질, 수영장, 호텔, 료칸, 욕탕, 수온, 체크아웃, 스타벅스, 숙박, 헬스장, 목욕의신, 식당, 때밀이, 발권, 매표소, 당일치기"
동래구,금강공원,"아이, 나들이, 열차, 겨울, 놀이기구, 전망대, 등산, 단풍, 당일치기, 부모님, 브런치, 근교, 혼자, 걱정, 로프웨이, 둘이서, 반려동물, 입맛, 휴일, 야경, 별로, 동래온천, 걷기, 눈길, 여행객, 동화, 일제강점기, 동영상, 경치"
부산진구,부전마켓타운,"재래시장, 먹거리, 마켓타운, 장보기, 고향, 간장게장, 돼지국밥, 단골, 선지국, 구경, 유부초밥, 어묵, 돈까스, 상권, 사시미, 존맛, 단돈, 분식집, 인심, 맛집, 생활의달인, 나들이, 노포, 모듬회, 웨이팅, 테이크아웃, 건어물, 온누리상품권"
부산진구,전포카페거리,"음식점, 전화번호, 점심시간, 맛집, 밥집, 핫플, 스타벅스, 돈까스, 웨이팅, 테이크아웃, 단골, 카페나, 먹음, 에그타르트, 피스타치오, 버거, 돼지국밥, 호텔, 우동, 리조또, 본점, 순삭, 레스토랑, 베이커리,  타코, 비쥬, 티라미수, 입맛, 데이트"
부산진구,송상현광장,"먹음, 가기,  기차, 당일치기, 돼지국밥, 일제강점기, 남부선, 롯데, 남포동, 횟집, 택시, 부산, 별로, 입맛, 국립부산국악원, 기름, 종점, 존맛, 신라, 달맞이"
부산진구,호천마을,"관광명소, 산비탈, 고향, 북항대교, 달동네, 일제강점기, 명대사, 출사, 산복도로, 호계천, 추억, 일본, 피난민, 마린시티, 돼지국밥, 주택가, 산세, 유명, 맛집, 도시재생"
부산진구,황령산,"전망대, 야경, 맛집, 봉수대, 산행, 달맞이, 기온, 경성대, 백양산, 일몰, 금정산, 삼각대, 운치, 동백섬, 관광, 밤하늘, 인생샷, 대연동, 고도, 테라스, 휴가, 파노라마, 오르다, 산미, 스팟, 입맛, 단풍, 도심지, 숙소, 나들이, 웨이팅"
부산진구,성지곡수원지,"나들이, 회동수원지, 지곡, 먹음, 시댁, 정자, 데이트, 등산, 초입, 숙소, 공원로, 갈맷길, 먹거리, 여행, 맑은, 산책길, 주차공간, 지도, 고향, 야외, 성지, 달맞이, 추억, 동행"
북구,구포시장,"재래시장, 구포역, 존맛, 수산시장, 장날, 구경, 야시장, 중앙시장, 잔치국수, 나루터, 맛집, 노포, 마켓, 오일장, 버스정류장, 점포, 살코기, 어묵, 옛날, 새우젓, 당일치기, 상설, 건어물, 축제, 골목, 인심, 맛보기, 놀이터, 상인, 시장, 명절"
북구,화명생태공원,"나이트, 사전예약, 이벤트, 대천천, 야시장, 여름, 롯데, 데이트, 별로, 선셋, 화명대교, 콘서트, 관광객, 백일홍, 페스티벌, 구포역, 캠핑장, 부산, 기간, 인라인스케이트장, 일주일, 스팟, 메타, 바나나보트, 전화번호, 물놀이, 맥주, 대여"
북구,문화빙상센터,"스케이트장, 주차공간, 아이스링크, 헬스장, 북카페, 놀이터, 피겨, 맑은, 겨울방학, 동영상, 어린이집, 눈썰매장, 빙상, 얼음, 실내, 스케이트, 수강신청, 개장, 수영장, 이용대, 초보자, 국제, 미끄럼틀, 스타벅스, 샤워실, 첫째, 스케이팅, 경기장, 파란색, 데이트, 아이스, 경험, 백화점, 영화관, 스피드, 데크, 높이"
북구,부산어촌민속관,"공휴일, 아들, 나들이, 정월대보름, 주차공간, 여름방학, 아가, 어방, 재첩국, 기차, 어린이집, 항구, 겨울, 여유, 사전예약, 국밥, 가을, 부모님, 변천사, 구경, 구포역, 롯데, 점심시간, 유아차, 쇠집, 개관, 지하철역,크레파스, 이웃, 보리"
사상구,삼락생태공원,"사전예약, 수영장, 휴장, 여름방학, 당일치기, 푸릇푸릇, 개장, 백련, 일찍, 대여, 입실, 발권, 캠핑장, 꽃놀이, 미리, 우천, 휴식시간, 해수욕장, 후다닥, 날짜, 편이, 맘껏, 전날, 자차, 바운스"
사상구,사상인디스테이션,"공연, 사전예약, 선착순, 개막식, 가슴, 엔터테인먼트, 본점, 북적, 먹기, 쇼케이스, 힙합, 발매, 웨이팅, 스타, 만원, 매표소, 멤버, 한여름, 발대식, 액션, 극장, 마감, 콘서트, 마니아"
사하구,낙동강하구에코센터,"낙동강하구둑, 리뉴얼, 데크, 들락날락, 생태관광, 주차공간, 터미널, 탐조, 마루, 동백섬, 대여, 호텔, 둘레길, 놀이터, 카페, 핑크뮬리, 새둥지, 대동여지도, 당일치기, 만끽, 하중도, 건물"
사하구,다대포해수욕장,"다대포항, 올여름, 휴가, 해수욕, 두번째, 입맛,  관광명소, 해수욕장, 만조, 경험, 맛조개, 고래, 부산지하철, 수온, 별로, 잡기, 물놀이, 해질녘, 다시, 해솔길, 샤워실, 일찍, 해양, 인생샷, 여름철, 테라스"
사하구,다대포낙조분수,"일몰, 해변, 관광명소, 해수욕, 파라다이스, 해솔길, 흠뻑, 휴가, 해수욕장, 모래사장, 파도, 바닷가, 야외, 여름밤, 해질녘, 파노라마, 경치, 해안가, 선셋, 바다, 노을, 포빛, 여유, 바닷물, 바람, 물든, 밤하늘, 햇빛, 갯벌"
사하구,감천문화마을,"관광명소, 가을, 당일치기, 야경, 데이트, 달동네, 축제, 동백섬, 구름다리, 정취, 게스트하우스, 휴가,마추픽추, 나들이, 산비탈, 노을, 관광객, 맛집, 스팟, 전망대, 더위, 테라스, 외부, 오르다"
사하구,을숙도생태공원,"날씨, 놀이기구, 어린이, 스타벅스, 놀이터, 들락날락, 숙소, 경험, 자연환경, 나들이, 인라인스케이트장, 아이스, 겨울, 테이크아웃, 만끽, 입맛, 돈까스, 전망대, 맑은, 혼자, 카페, 해질녘, 실내, 달달, 휴식, 여름, 물놀이, 야외, 개장, 단풍, 학교"
사하구,아미산전망대,"일몰, 비경, 갈맷길,전망대, 모래톱,구름다리,산비탈, 관광명소,  바다로, 삼각대, 대자연, 낙동강, 테라스,경치, 해안가, 오르다, 해질녘, 야경"
사하구,부네치아,"갈맷길, 벚꽃, 관광명소, 테라스, 도시숲, 레인보우브릿지, 나들이, 해질녘, 해변, 경치, 구름다리,누리, 낙동강, 야외, 정원, 맛술촌, 달맞이, 선셋, 베이"
서구,구덕야영장,"구덕산, 관광명소, 등산로, 명지산, 갈맷길, 금정산, 소요산, 고갯길, 성거산, 트래킹, 유명산, 곡산, 오도산, 달산, 대운산, 망진산, 돌산, 구덕터널, 구봉산, 산마루, 가야산, 오르다, 구름다리, 중미산, 덕산, 둘레길, 비슬산"
서구,남항대교,"갈맷길, 해안로, 을숙도대교, 가덕도, 관광명소, 감천사, 영도다리, 베이시티, 북항대교, 가덕대교, 천마터널, 남항, 트레킹, 거가대교, 명지대교, 동백섬, 도개, 등대도, 일몰, 볼레길, 구름다리, 해수욕장, 갈맷, 산책길"
서구,석당박물관," 근대역사관, 차고, 피난민, 발달, 임시수도,재탄생, 고무신, 전차, 대통령관저, 건물, 신라시대, 진주성, 기념물, 개항, 부산지하철, 거치, 금관조복, 박물관, 동상, 삼고, 고풍, 근대화, 동아, 옛날, 근대건축, 전각, 진경산수화, 석재, 일제강점기, 요충지, 엘리베이터"
서구,송도해수욕장,"산책길, 여행, 트레킹, 바다로, 호캉스, 나들이, 베이, 구름다리, 걷기, 관광, 대중교통, 해수욕, 둘레길, 도시, 갈매기, 육지, 거북섬, 자갈치시장, 산책, 여름방학, 만끽, 여정, 해돋이, 다이빙대, 충무대로"
서구,송도용궁구름다리,"부산여행, 송도해안산책로, 시티투어, 휴양, 나들이, 구름다리, 관광명소, 당일치기, 여행, 다이빙대, 바다색, 볼레길, 스카이, 별로, 해수욕, 베이, 티라노사우루스, 택시, 경치, 휴가, 낭만, 데이트, 봉래산, 송도암, 호텔, 신기루, 자유, 티켓팅, 트레킹, 일찍"
서구,구덕운동장,"재개발, 구덕야구장, 사직운동장, 전용경기장, 구의회, 헬스장, 재건축, 구덕터널, 일제강점기, 문수월드컵경기장, 도시재생, 재탄생, 건물, 운동장, 사직야구장, 공설, 스틸야드, 탄천, 동네, 안산와스타디움, 신축, 테니스장, 건설, 전남드래곤즈, 실내수영장, 단장, 낙후, 자이언츠, 구청, 주택, 전국체전, 스타디움"
수영구,광안대교,"맛집, 전화번호, 피자, 카페, 이름, 식당, 미슐랭, 먹기, 본점, 호텔, 관광명소, 브런치, 메뉴, 인증샷, 스테이크, 자쿠, 조식, 유명, 돼지국밥, 민락동, 초밥, 체크아웃,  상가, 레스토랑, 기억, 선택, 입지, 매콤, 입맛, 전문점"
수영구,광안리SUPZONE,"해양스포츠, 대회, 민락회, 물놀이, 서퍼, 여름밤, 관람객, 경쟁, 해수욕장, 윈드서핑, 만끽, 수상, 파라솔, 포디움, 참가자, 레포츠, 페스, 구명조끼, 국제, 방파제, 갈매기, 해수욕, 해양, 횟집, 서핑보드, 선셋"
영도구,영도대교,"당일치기, 걷기, 데이트, 먹음, 산토리니, 호캉스, 달달, 브런치, 나들이, 남편, 관광명소, 혼자, 일제강점기, 두번째, 아기, 송도해수욕장, 시절, 휴가, 둘이서, 남자친구, 해안로, 오빠, 영도구, 베이"
영도구,깡깡이예술마을,"관광, 사전예약, 갈맷길, 깡깡이, 당일치기, 일제강점기, 도시재생, 여행, 문화센터, 송도해수욕장, 빈티, 정박, 호텔, 노포, 데이트, 아지트, 혼자, 갈매기, 개항, 뚜벅, 버스정류장, 유치원"
영도구,태종대,"관광명소, 열차, 먹음, 유아, 당일치기, 태원, 시티투어, 다누리, 데이트, 선바위, 쓰시마섬, 추억, 해물탕, 한여름, 탁트인, 휴가, 트레킹, 존맛, 일찍, 최고봉, 호텔, 산낙지, 신라, 디저트, 전망대, 나들이"
영도구,흰여울문화마을,"관광명소, 찍기, 산토리니, 갈맷길, 해안로, 데이트, 급경사, 인생샷,  핫플, 외항, 달동네, 산미, 돼지국밥, 전망대, 순우리말, 첫사랑, 당일치기, 언덕길, 여울, 맛집, 관광, 걷기, 일몰, 포토, 스팟, 사랑방, 피난민, 아기자기"
영도구,국립해양박물관,"개관, 국립박물관, 주차공간, 사전예약, 숙소, 후다닥, 일찍, 나전, 들락날락, 첫째, 여유, 박물관, 시계, 하늘정원, 터미널, 환영, 층별, 대여, 알록달록, 스탬프, 아가, 접수, 먹기, 관일, 어린이집, 방문객, 보관, 확대경"
영도구,절영해안산책로,"갈맷길, 갈맷, 해안로, 두번째, 중간지점, 여정, 둘레길, 관광명소, 자갈길, 급경사, 도개, 산책길, 산토리니, 여울, 구간, 트래킹, 항구, 해질녘, 뚜벅, 돼지, 완주, 갈매기"
영도구,아미르공원,"꽃놀이, 시티투어, 갈맷길, 봉래산, 절경, 물양장, 야경, 수국, 관광, 타코야끼, 해파리, 유원지, 달맞이, 낭만, 분홍, 항구, 스팟, 여름철, 전람회, 비빔밥, 휴가, 전망대"
중구,비프광장,"먹음, 당일치기, 체크아웃, 충무김밥, 아침식사, 타코야끼, 숙소, 점심시간, 빈대떡, 일제강점기, 전화번호, 모밀, 일찍, 야식, 입맛, 포기, 결정, 해운대역, 멸치, 맛집, 별로, 토스트, 배달, 배차, 기차, 호캉스, 사전,명절, 최소"
중구,용두산공원,"맛집, 관광명소, 버거, 일본, 갈매기, 먹기, 포장마차, 롯데, 종각, 입맛, 투썸플레이스, 바닷가, 사진촬영, 식당, 거제, 썸머, 일제강점기, 호텔, 치킨, 북항, 매콤, 다보탑, 생일, 고향, 본점"
중구,국제시장,"먹음, 광장시장, 당일치기, 충무김밥, 관광, 신창동, 영화제,  여름, 국밥집, 피난민, 돈까스, 테이크아웃, 옷가게, 인심, 롯데, 북적, 맛보기, 수산시장, 입맛, 맛집, 휴가, 국제, 비빔, 수입품, 야시장, 숙소, 상차림, 우동"
중구,보수동책방골목,"북카페, 아테네, 관광명소, 건물, 학당, 옷가게, 카페라떼, 웨이팅, 식당, 맛집, 다방, 카페, 스타벅스, 학창시절, 박물관, 지하철역, 주차공간, 책방, 공간, 계단, 테이크아웃, 라파엘로, 극장, 본점, 고전, 안내소, 전화번호, 북적, 아침, 상가"
중구,자갈치시장,"곱창, 회덮밥, 맛집, 양은, 대게, 백반, 밥집, 해물탕, 돼지껍데기, 건어물, 초고추장, 곰장어, 랍스타, 횟집, 쫄깃쫄깃, 먹음, 고래고기, 관광명소, 포장마차, 저울, 데이, 해삼, 본점, 단골, 계단, 국밥, 고향"
해운대구,누리마루,"동백섬, 갈맷길, 관광명소, 오르락내리락, 당일치기, 달맞이, 휴양지, 산책길, 트레킹, 스타벅스, 러닝, 내내, 데이트, 나들이, 뚜벅, 호텔, 자유, 가야산, 누리, 해안선, 휴가, 꽃말, 애기, 다릿돌, 캔버라"
해운대구,영화의전당,"영화평론가, 티켓팅, 야외극장, 크리스마스, 영화제, 문화생활, 영화관, 회전목마, 핫초코, 수영강변대로, 관광객, 상영, 스페셜, 마켓, 영화음악, 행사, 레드카펫, 시네마테크, 데이트, 천원, 스타,  테마, 롯데, 호텔, 혼잡, 인터파크, 두레라움, 좀비, 매표소, 빅루프, 혜택, 고전, 공휴일, 영화인"
해운대구,송정해수욕장,"캠핑장, 송정항, 주차공간, 개장, 펜션, 대여, 샤워실, 휴가, 수영장, 체크아웃, 환영, 다릿돌, 충전, 전망대, 감태, 숙박, 구명조끼, 전국, 통창, 손질, 수용, 달맞이, 당일치기, 청사포, 개방, 초보자, 해수욕, 테라스, 파라솔, 수온, 만끽"
해운대구,해운대해수욕장,"맛집, 호캉스, 달맞이고개, 해운대온천, 스타벅스, 먹음, 돼지국밥, 횟집, 당일치기, 밥집, 휴가, 해수욕장, 별미, 관광, 단골, 족욕탕, 점심시간, 호텔, 더위, 동백섬, 조식, 생맥주, 데이트, 영화, 전망대, 탄두리치킨, 웨이팅"
해운대구,더베이101,"요트, 호텔, 선셋, 달맞이, 휴가, 탑승권, 해운대로, 바다로, 스카이라인, 레저, 데이트, 베이, 승선, 카페나, 일몰, 횟집, 해수욕장, 마천루, 보트, 마리나, 리조트, 동백섬, 선착장, 낭만, 여름밤, 당일치기, 등대, 데크, 핫플"
해운대구,해운대블루라인파크,"관광열차, 사전예약, 탑승권, 여행가, 바다열차, 호텔, 티켓팅, 탑승객, 달맞이, 선셋, 폐선, 관광명소, 기차역, 재탄생, 발권, 베이, 열차, 여행, 데이트, 스카이, 매진, 스타벅스, 별로, 이용권, 모노레일, 일찍, 블루라인, 동백섬, 캡슐, 한여름"
해운대구,벡스코,"박람회장, 사전예약, 데이, 기획, 지스타, 신혼여행, 엄빠, 예비, 여름방학, 행사, 먹음, 도서전, 육아용품, 나들이, 전화번호, 경험, 오디토리움, 웨딩홀, 사전, 크게, 부스, 국제, 응모, 별로, 참가, 살이, 유행, 가족, 북적, 설문조사"
해운대구,장산,"장산도, 산행객, 백양산, 달맞이고개, 남알프스, 오르다, 돌산, 입산, 산스장, 봉래산, 구덕산, 명산, 등산로, 금련산, 진산, 산행길, 마천루, 데크, 산악회, 산들, 봉수대, 급경사, 전망대, 곡산, 탐방, 트레킹, 산국, 승학산, 상산, 산행, 약수터"
